time,source,dest,direction,
1466417135,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466417368,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-58-32-36,3,
1466417369,00-17-0d-00-00-3f-f8-20,00-17-0d-00-00-58-32-36,2,
1466422692,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466425513,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,2,
1466428016,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466430727,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,2,
1466431965,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466433315,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466434716,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466440065,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466440674,00-17-0d-00-00-60-03-82,00-17-0d-00-00-30-60-ef,2,
1466441529,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466444509,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,2,
1466447358,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466448742,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466451660,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466454831,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,2,
1466460469,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,2,
1466463164,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,2,
1466465802,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466469705,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466473197,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,2,
1466476914,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466480067,00-17-0d-00-00-3f-fe-88,00-17-0d-00-00-58-32-36,3,
1466481778,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466486463,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466490798,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466493411,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,2,
1466495913,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466499836,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466501267,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466506824,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,2,
1466509385,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,2,
1466512180,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466516139,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466519403,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466523167,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466524548,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466525867,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466527074,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-b0-00-87,2,
1466528568,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466531152,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466532637,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466535206,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,2,
